SearchToken,Occurances
a,78
aa,380
aaa,380
abba,12
abbott,1
abc,5
abd,476
abdominal,1
abductor,4
able,12
abo,1
abreva,3
absence,1
absorb,2
absorbent,1
abu,1
abuelita,2
abuse,1
ac,14
acapellas,1
acas,2
accent,6
acclaim,10
accordion,2
accutech,5
ace,40
acet,5
acetamin,10
acetaminophen,75
acetic,8
acetyl,1
achieve,1
acid,2
acidic,2
acidiphilus,1
acidolphilus,1
acidop,5
acidoph,20
acidophil,1
acidophilic,1
acidophillous,1
acidophillus,3
acidophilus,452
acidophius,1
acidophlus,1
acidopholis,1
acidopholus,1
acini,1
acorn,82
acrylic,1
act,1
acticoat,5
action,1
activate,1
active,1
activia,78
actuators,1
ad,19
ada,3
adami,1
adapt,2
adaptec,33
adapter,10
adapters,3
adaptor,6
adaptors,1
adcc,3
add,7
added,13
adding,1
addipack,1
addipak,118
addipaks,4
additive,17
address,37
adductor,1
adh,6
adherent,5
adhesive,204
adjustable,1
adl,10
admin,3
administration,3
admission,55
admit,9
admits,1
ado,1
adobe,9
adscoop,1
adult,1
advance,3
advanced,7
advill,1
aegis,2
aer,1
aerator,1
aero,18
aerosol,6
af,27
afrc,1
afresh,10
afrin,10
afro,3
after,35
aftershave,51
ag,127
age,1
aged,15
agent,1
agitate,1
agnes,2
ago,48
ahi,1
ahoy,24
aid,138
aide,29
aides,2
aids,31
aim,1
aims,2
aimtech,9
air,2
aire,6
aires,1
airlife,9
airlift,2
airline,72
airport,5
airports,1
ajax,10
akin,3
al,3
aladdin,6
alarm,27
alarms,12
alaska,6
alaskan,1
alb,2
alba,1
albacore,27
albon,1
albondigas,2
albumin,6
alchole,3
alcholol,1
alcohol,2
alcohols,1
alcor,4
ale,572
alert,15
ales,1
alf,1
alfalfa,1
alfamino,2
alfred,2
alfredo,663
algeria,2
alginat,2
alginate,237
algisite,6
align,5
alimentum,2
alive,2
alkali,1
alkaline,1
all,1
alldress,3
allegra,121
allen,12
allergic,1
allergies,1
allergy,40
alleyn,107
allkare,11
allspice,5
allupak,1
almond,1
almondine,6
almonds,92
aloe,119
aloetouch,24
aloevesta,1
alpha,4
alphabet,3
alpine,3
also,3
alt,29
alta,1
alternate,2
alternative,10
alum,10
alumina,1
aluminum,38
always,10
am,1
amanda,3
ambassador,1
ambidextrous,1
ambitex,1
ambrosia,9
ambubag,1
ambubags,1
amd,4
amen,3
amer,48
america,17
american,1499
amery,2
ami,3
amiens,1
amigo,1
amino,2
amiss,5
amlactin,3
ammonium,6
amoroso,12
amos,19
amp,4
amplifier,1
amplify,1
amputee,2
ams,1
an,1
analgesic,1
anasept,11
anc,55
anchor,5
anchors,7
anchovies,6
anchovy,12
and,1
andes,2
andouie,1
andouille,36
andoullie,1
android,4
androids,1
ang,1
angel,1024
angels,1
angelsoft,2
angina,1
angiocath,1
angle,6
anglers,2
angus,14
animal,1
animals,2
anise,1
anna,170
annan,1
annie,2
anniversary,2
ant,3
antacids,1
anti,129
anti-perspirant,13
anti-roll,1
antiacid,3
antibacterial,14
antibiotic,261
antibiotics,1
antidiarehal,1
antidiarrhea,3
antidiarrheal,7
antifu,1
antifun,2
antifungal,2
antigua,3
antihistamine,1
antimicro,1
antimicrobial,7
antipasto,1
antiper,2
antipers,1
antipersp,1
antique,1
antirollback,3
antirollbacks,1
antisep,1
antiseptic,43
anvil,8
any,5
ap,49
apart,4
apex,144
aplicators,1
aplisol,6
app,18
appetiser,15
appetizers,3
apple,7837
apples,27
applesacue,1
applesau,23
applesauc,6
applesauce,2477
applesauces,1
