SearchTerm,Occurances
,159314
the,24874
you,22813
to,19510
i,17280
a,15076
and,13209
is,9260
of,9245
we,9078
that,7837
it,7189
in,7062
have,6069
this,5917
all,5744
what,5657
my,5510
for,5480
are,5120
on,5120
your,5056
just,4982
i'm,4870
oh,4783
be,4613
don't,4375
do,4317
it's,4189
with,4123
get,3951
but,3682
me,3366
so,3347
not,3344
can,3337
well,3229
no,3145
like,3113
was,2999
now,2909
know,2828
that's,2792
you're,2678
he,2663
out,2629
our,2584
gonna,2548
come,2492
they,2477
go,2472
about,2448
if,2383
at,2346
right,2233
how,2215
up,2165
think,2128
got,2101
we're,2052
see,2020
here,1949
yeah,1862
from,1814
can't,1790
hey,1707
people,1696
uh,1695
little,1664
will,1614
there,1573
some,1557
us,1555
who,1545
one,1544
then,1517
as,1511
has,1498
going,1480
look,1459
did,1457
his,1456
want,1432
make,1431
really,1405
take,1404
let's,1367
need,1355
why,1349
he's,1312
mr.,1306
okay,1257
an,1249
it.,1225
back,1224
dude,1211
time,1196
been,1157
guys,1150
over,1147
when,1142
would,1139
it!,1121
could,1111
or,1106
because,1105
him,1101
there's,1069
let,1046
good,1042
where,1030
tell,1030
what's,1023
i'll,1018
their,1004
more,987
i've,976
them,972
by,970
say,957
you.,955
should,952
god,949
were,943
wanna,940
yeah.,923
what?,920
had,896
yes,880
very,867
down,866
give,863
they're,856
only,844
sure,829
new,808
she,808
these,803
hell,801
way,794
no!,793
never,788
into,784
didn't,776
kyle,776
any,741
stop,735
those,730
her,728
we've,720
alright,716
mean,715
put,714
me.,706
isn't,700
help,695
even,692
said,686
something,678
here.,672
maybe,658
wait,652
am,648
off,643
love,640
gotta,640
everyone,636
big,625
kids,621
find,620
still,611
must,608
man,607
being,604
cartman,601
right.,601
two,599
we'll,593
too,589
now.,585
show,583
you've,578
boys,578
sorry,577
yeah!,575
thing,572
doesn't,572
believe,570
than,568
you!,566
south,564
school,563
does,557
stan,556
made,556
thank,554
better,552
try,552
eric,547
butters,547
doing,543
great,537
other,535
much,532
jesus,504
ever,504
park,504
keep,503
stupid,498
first,494
mom,492
please,491
getting,490
me!,482
told,480
children,478
boy,478
call,471
okay.,468
hello,467
around,465
kill,462
you?,460
play,460
last,458
guess,444
that?,444
son,441
lot,441
every,439
kenny,438
kyle.,436
here!,435
thought,432
talk,431
feel,429
things,427
dad,426
long,425
another,424
no.,422
might,414
kind,412
won't,409
away,406
looks,402
guys.,400
dude.,399
huh?,397
it?,396
before,394
trying,393
world,392
ah,391
guy,388
best,388
money,388
pretty,384
day,384
she's,382
oh.,377
know.,377
aw,375
nice,375
fuck,374
through,369
after,366
three,366
work,362
bad,358
god!,357
yes.,356
kid,356
actually,354
whole,350
next,349
start,347
on!,346
hold,345
on.,343
most,342
shut,339
time.,337
now!,334
friends,334
aren't,333
us.,332
use,330
everything,329
what?!,327
live,324
home,324
thanks,322
dude!,322
supposed,320
always,320
hear,317
too.,317
life,316
friend,316
there.,315
old,313
care,311
again.,310
go.,309
him.,309
nothing,307
anything,307
watch,307
'cause,306
having,306
parents,306
real,305
stay,305
wrong,304
town,301
you'll,300
kyle!,299
guys!,298
understand,295
name,293
seen,293
out.,293
took,292
bring,292
wow,291
that.,291
fat,290
this.,290
coming,289
nobody,289
called,288
leave,288
found,287
listen,286
good.,286
which,286
young,286
own,285
hi,283
up.,283
right!,279
talking,278
do.,277
somebody,277
christmas,274
remember,274
butters.,271
damn,271
making,270
until,268
up!,267
such,266
family,266
else,264
again,264
go!,263
right?,259
black,259
gay,258
stan.,258
ms.,257
night,252
ass,250
came,250
them.,250
hate,249
fucking,249
each,249
hey!,249
wants,248
says,247
wanted,247
done,244
i'd,241
who's,240
cartman!,239
finally,238
totally,237
fun,236
excuse,233
head,233
me?,233
eat,232
place,232
saying,232
this?,231
five,231
fight,230
change,230
four,229
part,228
do?,228
out!,228
makes,227
goin',226
heard,224
once,224
sex,222
cartman.,222
this!,221
saw,221
check,220
sorry.,220
whoa,219
enough,219
many,218
game,218
idea,217
cool,217
buy,217
run,216
knew,216
killed,215
without,215
special,215
person,215
together,214
wasn't,214
years,213
welcome,213
inside,213
may,213
house,212
matter,211
crap,210
happy,208
playing,208
sir,208
us!,207
ask,207
hard,207
here?,207
all.,206
girls,206
hundred,206
cool.,206
kenny!,205
god.,204
video,204
butters!,204
red,203
really?,201
taking,200
huh,200
oh!,200
ready,200
already,199
boys.,199
hope,198
today,198
turn,198
course,198
went,197
kick,196
you'd,196
stuff,195
okay?,194
man.,193
since,193
terrance,193
here's,192
poor,192
eric.,191
sit,191
haven't,190
left,190
country,189
him!,189
tom,189
is.,188
chef,188
move,187
used,187
girl,186
means,185
free,185
almost,185
yes!,184
wouldn't,184
end,183
looking,183
child,182
bitch!,182
just...,181
that!,181
lost,181
same,180
afraid,179
while,179
hot,179
ya,178
see?,178
white,177
doing?,177
one.,177
its,177
back.,176
children.,176
-,176
learned,175
room,175
again!,175
in.,175
shit,174
news,174
die,174
kenny.,173
wendy,172
pay,171
people.,171
down.,171
hang,170
ten,170
now?,170
everybody,170
sir.,169
whatever,169
but...,169
dead,168
hello?,168
fuckin',168
dumb,168
back!,167
garrison,167
become,167
why?,167
needs,167
face,166
learn,165
ha,165
set,165
i...,165
president,165
sometimes,164
read,164
there!,164
sure.,164
seems,164
they've,164
problem,163
home.,162
fine,161
started,161
ain't,160
gets,160
someone,159
also,159
phillip,159
thousand,159
eh,158
telling,158
randy,158
important,157
father,156
stand,155
suck,155
days,155
shouldn't,154
few,154
taken,153
kyle?,153
anymore.,153
stan!,153
screw,152
probably,152
book,152
jimmy,151
watching,151
against,151
open,151
million,150
ike,149
beat,149
word,149
happened,148
please.,148
look!,147
meet,147
way.,147
uh...,147
hit,147
win,146
stan?,146
mrs.,146
dollars,145
woman,144
well.,144
sick,144
rest,144
job,143
tried,143
fine.,143
tomorrow,142
times,142
couldn't,142
baby,142
worry,142
entire,141
save,141
mind,141
ass!,141
time!,141
anybody,140
comes,140
able,140
sounds,140
forget,139
gave,139
seem,138
miss,137
and...,137
m'kay?,137
tonight,137
party,137
you?!,136
kids.,136
men,136
balls,135
soon,135
minute.,135
dad.,134
side,134
cartman's,134
company,134
anyone,134
team,134
least,133
music,133
where's,133
shall,133
perhaps,132
students,132
power,131
front,131
on?,130
food,130
goes,130
away.,130
is!,130
hand,130
funny,130
year,130
'em,130
evil,130
cannot,129
we'd,129
stanley,128
kid.,128
kenny's,128
today.,128
earth,128
son.,127
day.,127
song,127
wait.,127
"""",127
government,127
please?,126
bitch,126
movie,126
break,126
them!,126
wow!,126
money.,126
gone,126
morning,126
lord,125
they'll,125
way!,125
brought,125
car,125
american,125
bunch,124
you...,124
both,124
token,123
different,123
yourself,123
super,122
living,122
send,122
mother,121
high,121
too!,121
knows,121
sweet,120
that?!,120
clyde,120
cartman?,120
full,120
school.,120
deal,120
bet,120
sent,120
marsh,120
mom.,120
chef.,119
holy,119
walk,119
city,119
what??,119
man!,118
mean?,118
cut,118
future,118
brother,118
six,117
exactly,117
see.,117
shoot,117
friend.,117
shot,117
doing?!,117
um,117
gentlemen,116
second,116
war,116
america,116
down!,116
heh,116
boy.,116
behind,116
outside,116
wish,115
drink,115
line,115
something.,114
do!,114
class,114
are.,113
fine!,113
ho,113
jesus!,113
world.,112
bad.,112
dad!,112
police,111
penis,111
us?,111
look.,111
water,110
ass.,110
throw,110
picture,110
alright.,109
know?,109
anything.,109
canada,108
...,108
friends.,108
though,108
huh.,108
certainly,107
him?,107
hours,107
thanks.,107
it?!,107
christ,107
thinking,107
internet,107
lose,107
off.,107
over.,106
asshole!,106
number,106
about?,106
life.,106
door,106
hands,106
hurt,106
join,106
tv,106
attention,106
half,105
off!,105
running,105
glad,105
butters?,104
point,104
work.,104
lives,104
piece,104
wait!,104
ow!,104
cool!,104
is...,104
house.,104
true,103
write,103
realize,103
answer,103
mom!,103
town.,102
shit!,102
working,102
ahead,102
apparently,102
great.,102
toilet,101
body,101
under,101
idea.,101
mouth,101
quite,101
understand.,101
kyle's,100
night.,100
asked,100
wife,100
together.,100
sign,100
story,100
reason,100
coon,99
stop!,99
sing,99
biggest,99
week,98
thinks,98
dreidel,98
bit,98
dead.,98
heart,98
craig,97
whoa!,97
stuff.,97
boy!,97
small,97
band,97
between,97
speak,96
calm,96
thing.,96
using,96
hat,96
colorado,96
jesus.,96
great!,95
christ!,95
show.,95
lots,94
ice,94
blood,94
yeah?,94
uh.,93
kenny?,93
me?!,93
john,93
far,93
plan,93
much.,92
along,92
captain,92
control,92
pissed,92
chinese,92
order,91
seeing,91
children!,91
japanese,91
sound,91
did.,91
pick,91
fire,91
death,91
there?,91
timmy,90
that...,90
chance,89
how's,89
ladies,89
again?,89
dollars.,89
completely,89
eight,89
rid,89
please!,89
people!,89
park.,89
yet,88
pull,88
help.,88
report,88
sexual,88
drive,87
past,87
over!,87
eyes,87
case,87
waiting,87
eating,87
takes,87
appears,87
i-,87
truth,87
women,87
broke,87
canadian,86
crap!,86
tooth,86
doin',86
mayor,86
jew,86
then.,86
know!,86
stick,85
happen,85
catch,85
starting,85
ha!,85
okay!,85
tomorrow.,85
giving,85
uhh,85
teacher,84
gotten,84
ride,84
her.,84
hey.,84
awesome!,84
giant,84
simple,84
scott,84
touch,83
calling,83
who?,83
denver,83
better.,83
dark,83
true.,83
phone,83
instead,82
he'll,82
ago,82
state,82
happens,82
minute,82
say?,82
safe,82
nothin',82
standing,82
before.,81
everyone.,81
fatass!,81
all!,81
about.,81
wow.,81
m'kay.,81
o,81
except,80
myself,80
garrison.,80
office,80
nothing.,80
somethin',79
doctor,79
close,79
cold,79
worked,79
grow,79
nice.,79
to.,79
place.,79
boys!,79
weren't,78
it'll,78
officer,78
longer,78
caught,78
ones,78
follow,78
human,78
in!,78
paper,78
serious,78
twenty,78
shitty,77
go?,77
wiener,77
ago.,77
act,77
bill,77
seven,77
talkin',77
group,77
so.,77
guys?,77
killing,76
away!,76
sweet.,76
beautiful,76
question,76
quick,76
gettin',76
rich,76
good!,76
this?!,76
anymore,76
stan's,76
one!,76
fact,76
space,76
quiet,75
decided,75
teach,75
butt,75
sooo,75
chicken,75
build,75
fourth,75
huh?!,74
amazing,74
wendy.,74
sir!,74
.,74
everyone's,74
admit,74
turd,74
are!,74
m'kay,74
faith,74
a-,74
vote,74
feeling,74
business,74
wrong.,73
dr.,73
asking,73
pee,73
problem.,73
step,73
stupid!,73
putting,73
guy.,73
club,73
bus,72
seriously,72
to...,72
store,72
native,72
mountain,72
scared,72
eric!,72
dad?,72
mine,72
hooray!,72
dance,71
television,71
awesome,71
easy,71
sell,71
asshole,71
somewhere,71
americans,71
mackey,71
fish,71
bigger,71
balls.,71
die!,71
die.,70
honey,70
blow,70
pass,70
alone,70
light,70
wake,70
raise,70
likes,70
up?,70
friday,70
damnit!,69
a...,69
them?,69
pictures,69
return,69
be.,69
christ.,69
ya.,69
couple,69
spend,69
alien,69
shows,68
everyone!,68
sleep,68
sea,68
enough!,68
deep,68
turned,68
planet,68
kiss,68
...and,68
&,67
middle,67
mom's,67
normal,67
trouble,67
crazy,67
anyway,67
timmih!,67
burn,67
wrote,67
explain,67
done.,66
cause,66
yet.,66
late,66
aaaah!,66
bear,66
oh...,66
muhammad,66
hoh,66
stupid.,66
died,66
"""the",66
magic,66
everybody.,65
simply,65
lie,65
huge,65
is?,65
hair,65
wear,65
jews,65
sir?,65
race,65
dream,65
the-,65
destroy,65
sharon,65
going?,64
billy,64
happened?,64
alright!,64
nooo!,64
mall,64
prove,64
third,64
sucks,64
rock,64
joke,64
comedy,64
hello.,64
anymore!,64
meeting,64
worth,63
history,63
top,63
randy!,63
star,63
uhhh,63
yes?,63
ho!,63
not.,63
nine,63
secret,63
fly,63
weeks,63
words,63
games,63
stanley.,63
hurry,63
protect,63
marsh.,62
smart,62
folks,62
real.,62
later,62
ned,62
bastards!,62
homeless,62
hat.,62
seat,62
yo,62
trapped,62
minutes,62
not?,62
gay.,62
principal,62
more.,61
"""i",61
reach,61
dear,61
dog,61
paid,61
ball,61
hat!,61
havin',61
public,61
power!,61
hasn't,61
trust,61
lady,61
agree,61
saved,61
guy!,60
united,60
episode,60
clear,60
jewish,60
money!,60
things.,60
wearing,60
moved,60
ohhh,60
ey!,60
sense,60
everybody!,60
news.,60
wonder,60
out?,60
drugs,60
chris,60
chef!,59
kinda,59
tonight.,59
of...,59
god-damned,59
horrible,59
phillip.,59
eye,59
crap.,59
can't.,59
flute,59
course.,59
himself,59
want.,59
years.,59
present,58
national,58
shit.,58
we...,58
loves,58
mom?,58
uncle,58
heaven,58
it...,58
student,58
hell?,58
perfect,58
during,58
lying,58
upon,58
sue,58
spirit,58
aww,58
robot,57
game.,57
world!,57
changed,57
alone.,57
building,57
ohh,57
token.,57
ready?,57
bitch.,57
