SearchToken,Occurances
the,24882
you,22836
to,19514
i,17280
a,15080
and,13227
is,9262
of,9247
we,9096
that,7851
it,7189
in,7062
have,6071
this,5920
all,5754
what,5672
my,5512
for,5490
on,5123
are,5122
your,5056
just,4988
oh,4793
be,4615
do,4318
with,4132
get,3954
but,3699
me,3371
so,3371
not,3353
can,3338
well,3249
no,3151
like,3122
was,2999
now,2915
know,2829
he,2664
out,2629
our,2586
gonna,2552
come,2495
they,2489
go,2472
about,2455
if,2385
at,2357
right,2236
how,2283
up,2166
think,2140
got,2111
see,2030
here,1986
yeah,1910
from,1821
hey,1711
people,1703
uh,1695
little,1672
will,1615
there,1576
some,1561
us,1558
who,1547
one,1548
then,1523
as,1514
has,1502
going,1483
look,1470
did,1470
his,1461
want,1437
make,1431
really,1415
take,1405
need,1357
why,1357
okay,1280
an,1252
back,1227
dude,1214
time,1201
been,1161
guys,1150
over,1149
when,1142
would,1144
could,1113
or,1107
because,1107
him,1101
let,1049
good,1058
tell,1032
where,1032
their,1004
more,987
them,972
by,970
say,959
should,959
god,949
were,952
wanna,940
had,911
yes,885
very,878
down,866
give,863
only,845
sure,832
new,809
she,808
these,803
hell,804
way,810
never,791
into,787
kyle,779
any,743
stop,737
those,730
her,729
alright,735
mean,717
put,719
help,697
even,698
said,688
something,680
maybe,660
wait,655
am,648
off,648
gotta,644
love,646
everyone,640
big,626
kids,623
find,620
still,612
must,609
man,607
being,610
carman,602
two,600
too,591
show,583
boys,578
sorry,580
thing,572
believe,574
than,571
south,566
school,566
does,558
made,557
stan,556
thank,555
better,552
try,553
eric,548
butters,548
doing,543
great,538
other,535
much,549
ever,506
jesus,509
park,504
keep,503
stupid,499
first,494
mom,492
please,496
getting,493
told,480
children,480
boy,480
call,471
hello,473
around,465
kill,463
play,461
last,461
guess,445
son,443
lot,441
every,443
kenny,451
thought,432
talk,431
feel,431
things,427
dad,426
long,426
another,424
might,414
kind,413
away,408
looks,402
before,394
trying,394
world,393
ah,408
best,392
money,391
guy,393
pretty,384
day,388
nice,377
aw,375
fuck,375
through,370
after,367
three,366
work,371
bad,359
kid,356
actually,354
whole,351
next,349
start,348
hold,347
most,343
shut,341
friends,335
use,333
everything,331
home,324
live,325
thanks,323
supposed,321
always,320
hear,318
friend,316
life,316
old,313
care,311
anything,309
nothing,310
watch,317
parents,307
having,306
real,305
stay,314
wrong,304
town,301
understand,296
seen,293
name,293
took,292
bring,292
wow,294
fat,290
coming,289
nobody,290
leave,288
called,288
found,290
listen,286
young,286
which,288
own,287
hi,284
talking,279
somebody,278
christmas,279
remember,276
damn,275
making,271
until,268
family,266
such,268
again,267
else,264
black,263
gay,258
night,252
ass,250
came,250
fucking,250
