center,left,right,steering,throttle,brake,speed
IMG/center_2020_02_08_19_09_31_554.jpg,IMG/left_2020_02_08_19_09_31_554.jpg,IMG/right_2020_02_08_19_09_31_554.jpg,-0.15,1,0,27.47329
IMG/center_2020_02_08_19_09_31_673.jpg,IMG/left_2020_02_08_19_09_31_673.jpg,IMG/right_2020_02_08_19_09_31_673.jpg,-0.45,1,0,28.46311
IMG/center_2020_02_08_19_09_31_796.jpg,IMG/left_2020_02_08_19_09_31_796.jpg,IMG/right_2020_02_08_19_09_31_796.jpg,-0.7500002,1,0,29.24154
IMG/center_2020_02_08_19_09_31_917.jpg,IMG/left_2020_02_08_19_09_31_917.jpg,IMG/right_2020_02_08_19_09_31_917.jpg,-1,1,0,29.83033
IMG/center_2020_02_08_19_09_32_053.jpg,IMG/left_2020_02_08_19_09_32_053.jpg,IMG/right_2020_02_08_19_09_32_053.jpg,-1,1,0,30.1373
IMG/center_2020_02_08_19_09_32_159.jpg,IMG/left_2020_02_08_19_09_32_159.jpg,IMG/right_2020_02_08_19_09_32_159.jpg,0,1,0,30.16508
IMG/center_2020_02_08_19_09_32_286.jpg,IMG/left_2020_02_08_19_09_32_286.jpg,IMG/right_2020_02_08_19_09_32_286.jpg,0,1,0,30.18769
IMG/center_2020_02_08_19_09_32_408.jpg,IMG/left_2020_02_08_19_09_32_408.jpg,IMG/right_2020_02_08_19_09_32_408.jpg,0,1,0,30.19001
IMG/center_2020_02_08_19_09_32_518.jpg,IMG/left_2020_02_08_19_09_32_518.jpg,IMG/right_2020_02_08_19_09_32_518.jpg,0.1,1,0,30.1853
IMG/center_2020_02_08_19_09_32_638.jpg,IMG/left_2020_02_08_19_09_32_638.jpg,IMG/right_2020_02_08_19_09_32_638.jpg,0.4,1,0,30.15667
IMG/center_2020_02_08_19_09_32_754.jpg,IMG/left_2020_02_08_19_09_32_754.jpg,IMG/right_2020_02_08_19_09_32_754.jpg,0.7,1,0,30.11992
IMG/center_2020_02_08_19_09_32_875.jpg,IMG/left_2020_02_08_19_09_32_875.jpg,IMG/right_2020_02_08_19_09_32_875.jpg,0,1,0,30.18519
IMG/center_2020_02_08_19_09_32_987.jpg,IMG/left_2020_02_08_19_09_32_987.jpg,IMG/right_2020_02_08_19_09_32_987.jpg,0,1,0,30.18973
IMG/center_2020_02_08_19_09_33_108.jpg,IMG/left_2020_02_08_19_09_33_108.jpg,IMG/right_2020_02_08_19_09_33_108.jpg,0.15,1,0,30.18503
IMG/center_2020_02_08_19_09_33_228.jpg,IMG/left_2020_02_08_19_09_33_228.jpg,IMG/right_2020_02_08_19_09_33_228.jpg,0,1,0,30.1883
IMG/center_2020_02_08_19_09_33_344.jpg,IMG/left_2020_02_08_19_09_33_344.jpg,IMG/right_2020_02_08_19_09_33_344.jpg,0,1,0,30.18939
IMG/center_2020_02_08_19_09_33_412.jpg,IMG/left_2020_02_08_19_09_33_412.jpg,IMG/right_2020_02_08_19_09_33_412.jpg,0,1,0,30.18931
IMG/center_2020_02_08_19_09_33_533.jpg,IMG/left_2020_02_08_19_09_33_533.jpg,IMG/right_2020_02_08_19_09_33_533.jpg,0,1,0,30.19077
IMG/center_2020_02_08_19_09_33_648.jpg,IMG/left_2020_02_08_19_09_33_648.jpg,IMG/right_2020_02_08_19_09_33_648.jpg,0,1,0,30.19241
IMG/center_2020_02_08_19_09_33_769.jpg,IMG/left_2020_02_08_19_09_33_769.jpg,IMG/right_2020_02_08_19_09_33_769.jpg,0,1,0,30.19091
IMG/center_2020_02_08_19_09_33_888.jpg,IMG/left_2020_02_08_19_09_33_888.jpg,IMG/right_2020_02_08_19_09_33_888.jpg,-0.15,1,0,30.1839
IMG/center_2020_02_08_19_09_34_008.jpg,IMG/left_2020_02_08_19_09_34_008.jpg,IMG/right_2020_02_08_19_09_34_008.jpg,-0.45,1,0,30.15103
IMG/center_2020_02_08_19_09_34_126.jpg,IMG/left_2020_02_08_19_09_34_126.jpg,IMG/right_2020_02_08_19_09_34_126.jpg,0,1,0,30.18946
IMG/center_2020_02_08_19_09_34_248.jpg,IMG/left_2020_02_08_19_09_34_248.jpg,IMG/right_2020_02_08_19_09_34_248.jpg,0,1,0,30.19092
IMG/center_2020_02_08_19_09_34_371.jpg,IMG/left_2020_02_08_19_09_34_371.jpg,IMG/right_2020_02_08_19_09_34_371.jpg,-0.15,1,0,30.18523
IMG/center_2020_02_08_19_09_34_490.jpg,IMG/left_2020_02_08_19_09_34_490.jpg,IMG/right_2020_02_08_19_09_34_490.jpg,0,1,0,30.18958
IMG/center_2020_02_08_19_09_34_605.jpg,IMG/left_2020_02_08_19_09_34_605.jpg,IMG/right_2020_02_08_19_09_34_605.jpg,0,1,0,30.19057
IMG/center_2020_02_08_19_09_34_732.jpg,IMG/left_2020_02_08_19_09_34_732.jpg,IMG/right_2020_02_08_19_09_34_732.jpg,-0.15,1,0,30.18517
IMG/center_2020_02_08_19_09_34_860.jpg,IMG/left_2020_02_08_19_09_34_860.jpg,IMG/right_2020_02_08_19_09_34_860.jpg,-0.45,1,0,30.15174
IMG/center_2020_02_08_19_09_34_981.jpg,IMG/left_2020_02_08_19_09_34_981.jpg,IMG/right_2020_02_08_19_09_34_981.jpg,0,1,0,30.18949
IMG/center_2020_02_08_19_09_35_109.jpg,IMG/left_2020_02_08_19_09_35_109.jpg,IMG/right_2020_02_08_19_09_35_109.jpg,0,1,0,30.19079
IMG/center_2020_02_08_19_09_35_225.jpg,IMG/left_2020_02_08_19_09_35_225.jpg,IMG/right_2020_02_08_19_09_35_225.jpg,-0.3,1,0,30.17031
IMG/center_2020_02_08_19_09_35_292.jpg,IMG/left_2020_02_08_19_09_35_292.jpg,IMG/right_2020_02_08_19_09_35_292.jpg,0,1,0,30.19032
IMG/center_2020_02_08_19_09_35_417.jpg,IMG/left_2020_02_08_19_09_35_417.jpg,IMG/right_2020_02_08_19_09_35_417.jpg,0,1,0,30.19032
IMG/center_2020_02_08_19_09_35_549.jpg,IMG/left_2020_02_08_19_09_35_549.jpg,IMG/right_2020_02_08_19_09_35_549.jpg,-0.2,1,0,30.18013
IMG/center_2020_02_08_19_09_35_668.jpg,IMG/left_2020_02_08_19_09_35_668.jpg,IMG/right_2020_02_08_19_09_35_668.jpg,-0.5000001,1,0,30.14586
